city,county,lat,lon,feature
Hawaiian Paradise Park,Hawaii,19.5833,-154.967,city
Kailua-Kona,Hawaii,19.64,-155.9969,city
Hilo,Hawaii,19.7241,-155.0868,city
Walmea,Kauai,20.0231,-155.6717,city
Kihei,Oahu,20.7644,-156.445,city
Pukalani,Maui,20.8367,-156.3367,city
Kahului,Oahu,20.8893,-156.4729,city
Wailuku,Maui,20.8911,-156.5047,city
Waihee-Waiehu,Maui,20.9297,-156.5045,city
Haiku-Pauwela,Maui,20.9385,-156.2962,city
Ho'olehua,Molokai,21.1676,-157.0686,city
Kalaupapa,Molokai,21.1893,-156.9818,city
Wakiki,Oahu,21.2823,-157.831,city
Honolulu,Hawaii,21.3069,-157.8583,city
Ewa Gentry,Oahu,21.3398,-158.0284,city
Pearl Harbor,Oahu,21.339884,-157.970901,city
Waipahu,Oahu,21.3867,-158.0092,city
Kaneohe,Hawaii,21.3996,-157.7974,city
Mililani Town,Oahu,21.4513,-158.0153,city
Koloa,Kauai,21.9067,-159.4692,city
Lihue,Kauai,21.9811,-159.3711,city
Wailua Homesteads,Kauai,22.0713,-159.3771,city
Kapa'a,Kauai,22.0881,-159.338,city
